rn,SQLDATE,MonthYear,EventCode,SOURCEURL,IsRootEvent,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,NumMentions,NumSources,NumArticles
1,20140331,201403,195,http://crofsblogs.typepad.com/h5n1/2015/03/yemen-the-houthi-enigma.html,1,SAUDI ARABIA,SAU,YEMEN,YEM,10,1,10
2,20140331,201403,195,http://crofsblogs.typepad.com/h5n1/2015/03/yemen-the-houthi-enigma.html,0,SAUDI ARABIA,SAU,YEMEN,YEM,2,1,2
3,20140331,201403,195,http://crofsblogs.typepad.com/h5n1/2015/03/yemen-the-houthi-enigma.html,0,SAUDI ARABIA,SAU,YEMEN,YEM,8,1,8
4,20140410,201404,010,http://www.asianews.it/notizie-it/Cresce-l%E2%80%99influenza-dei-generali-cinesi-nella-diplomazia-33939.html,1,LIEUTENANT GENERAL,,,,10,1,10
5,20140415,201404,042,http://www.diariofutrono.cl/noticia/salud/2015/04/seremi-de-salud-llamo-a-la-comunidad-del-ranco-a-vacunarse-contra-la-influenza,0,,,COMMUNITY,,10,1,10
6,20140415,201404,043,http://www.diariofutrono.cl/noticia/salud/2015/04/seremi-de-salud-llamo-a-la-comunidad-del-ranco-a-vacunarse-contra-la-influenza,0,COMMUNITY,,,,10,1,10
7,20140417,201404,090,http://crofsblogs.typepad.com/h5n1/2015/04/msf-goes-starts-rescue-operations-in-the-mediterranean.html,1,MIGRANT,,REFUGEE,,5,1,5
8,20140415,201404,100,http://www.diariofutrono.cl/noticia/salud/2015/04/seremi-de-salud-llamo-a-la-comunidad-del-ranco-a-vacunarse-contra-la-influenza,0,,,COMMUNITY,,10,1,10
9,20140520,201405,020,http://crofsblogs.typepad.com/h5n1/2015/05/dont-repeat-chikungunya-mistakes-with-zika-virus-seiveright-urges.html,1,JAMAICA,JAM,HEALTH MINIST,,2,1,2
10,20140503,201405,036,http://crofsblogs.typepad.com/h5n1/2015/05/3700-migrants-on-their-way-to-italy-after-being-rescued.html,1,,,ITALY,ITA,10,1,5
11,20140503,201405,036,http://crofsblogs.typepad.com/h5n1/2015/05/3700-migrants-on-their-way-to-italy-after-being-rescued.html,1,ITALY,ITA,,,10,1,5
12,20140513,201405,120,http://www.agenzianova.com/a/5553831a5dfae0.10157606/1142202/2015-05-13/libia-gentiloni-ad-antalya-ankara-puo-avere-influenza-positiva-su-ritorno-del-congresso-di-tripoli-al-tavolo-del-negoziato,1,CONGRESS,,ENVOY,,10,1,10
13,20140525,201405,192,http://crofsblogs.typepad.com/h5n1/2015/05/sierra-leone-marks-grim-ebola-anniversary-yahoo-news.html,1,GUINEA,GIN,SIERRA LEONE,SLE,5,1,5
14,20140525,201405,192,http://crofsblogs.typepad.com/h5n1/2015/05/sierra-leone-marks-grim-ebola-anniversary-yahoo-news.html,1,GUINEA,GIN,SIERRA LEONE,SLE,9,1,7
15,20140618,201406,012,http://crofsblogs.typepad.com/h5n1/2015/06/worlds-displaced-hits-record-high-of-60-million-half-of-them-children-un.html,1,REFUGEE,,,,10,1,10
16,20140618,201406,012,http://crofsblogs.typepad.com/h5n1/2015/06/worlds-displaced-hits-record-high-of-60-million-half-of-them-children-un.html,1,REFUGEE,,,,10,1,10
17,20140601,201406,073,http://crofsblogs.typepad.com/h5n1/2015/06/mediterranean-migrant-death-rate-slows-after-search-and-rescue-boost.html,1,MIGRANT,,,,20,1,10
18,20140625,201406,1123,http://crofsblogs.typepad.com/h5n1/2015/06/south-korea-draws-up-13-billion-budget-boost-as-mers-bites-into-growth.html,0,,,SOUTH KOREA,KOR,16,1,8
19,20140609,201406,120,http://wnep.com/2015/06/09/egg-prices-rise-due-to-avian-influenza/,1,DEPARTMENT OF AGRICULTURE,,,,2,1,2
20,20140609,201406,120,http://wnep.com/2015/06/09/egg-prices-rise-due-to-avian-influenza/,1,DEPARTMENT OF AGRICULTURE,,UNITED STATES,USA,6,1,6
21,20140725,201407,042,http://crofsblogs.typepad.com/h5n1/2015/07/india-mers-vaccination-camp-for-8000-haj-pilgrims-wait-what.html,1,AHMEDABAD,IND,,,12,1,6
22,20140711,201407,042,http://crofsblogs.typepad.com/h5n1/2015/07/migrant-arrivals-in-europe-top-150000-in-2015-and-half-are-in-greece.html,1,,,GREECE,GRC,10,1,5
23,20140711,201407,042,http://crofsblogs.typepad.com/h5n1/2015/07/migrant-arrivals-in-europe-top-150000-in-2015-and-half-are-in-greece.html,1,,,GREECE,GRC,10,1,5
24,20140725,201407,043,http://crofsblogs.typepad.com/h5n1/2015/07/india-mers-vaccination-camp-for-8000-haj-pilgrims-wait-what.html,1,,,AHMEDABAD,IND,12,1,6
25,20140711,201407,043,http://crofsblogs.typepad.com/h5n1/2015/07/migrant-arrivals-in-europe-top-150000-in-2015-and-half-are-in-greece.html,1,GREECE,GRC,,,10,1,5
26,20140711,201407,043,http://crofsblogs.typepad.com/h5n1/2015/07/migrant-arrivals-in-europe-top-150000-in-2015-and-half-are-in-greece.html,1,GREECE,GRC,,,10,1,5
27,20140916,201409,193,http://elvocero.com/rullan-exhorta-a-vacunarse-contra-la-influenza/,1,POPULATION,,ADMINISTRATION,,10,1,10
28,20140927,201409,193,http://mundinews.com/shaune-fraser-leyo-rullan-exhorta-a-vacunarse-contra-la-influenza/,1,POPULATION,,ADMINISTRATION,,10,1,10
29,20141112,201411,020,http://www.news24web.it/268212015/influenza-picco-a-gennaio-i-medici-esortano-a-vaccinarsi/,1,DOCTOR,,MINISTRY,,10,1,10
