rn,SQLDATE,MonthYear,EventCode,SOURCEURL,IsRootEvent,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,NumMentions,NumSources,NumArticles
16079,20181012,201810,036,https://foreignaffairs.co.nz/2018/10/12/mil-osi-new-zealand-nz-heritage-week-uc-connect-public-lecture-black-flu-why-should-we-remember-the-1918-influenza-pandemic-in-new-zealand/,1,NEW ZEALAND,NZL,NEW ZEALAND,NZL,2,1,2
16080,20181012,201810,036,https://foreignaffairs.co.nz/2018/10/12/mil-osi-new-zealand-nz-heritage-week-uc-connect-public-lecture-black-flu-why-should-we-remember-the-1918-influenza-pandemic-in-new-zealand/,1,PROFESSOR,,NEW ZEALAND,NZL,8,1,8
16081,20181011,201810,036,https://livenews.co.nz/2018/10/12/new-zealand-tertiary-sector-black-flu-why-should-we-remember-the-1918-influenza-pandemic-in-new-zealand-public-lecture/,1,NEW ZEALAND,NZL,NEW ZEALAND,NZL,4,2,4
16082,20181011,201810,036,https://livenews.co.nz/2018/10/12/new-zealand-tertiary-sector-black-flu-why-should-we-remember-the-1918-influenza-pandemic-in-new-zealand-public-lecture/,1,PROFESSOR,,NEW ZEALAND,NZL,16,2,16
16083,20181009,201810,036,https://www.cadillacnews.com/news/today-in-history-cadillac-braces-for-coming-influenza-epidemic/article_ab5704e5-8c90-52fd-be61-44aeb9659f71.html,1,,,COMPANY,,10,1,10
16084,20181009,201810,036,https://www.cadillacnews.com/news/today-in-history-cadillac-braces-for-coming-influenza-epidemic/article_ab5704e5-8c90-52fd-be61-44aeb9659f71.html,1,COMPANY,,,,10,1,10
16085,20181018,201810,036,https://www.elsoldetijuana.com.mx/local/invitan-a-la-poblacion-de-riesgo-a-vacunarse-contra-la-influenza-2140811.html,1,,,POPULATION,,10,1,10
16086,20181003,201810,036,https://www.galioninquirer.com/news/34530/influenza-flu-clinic-season-has-arrived-in-galion,1,HEALTH DEPARTMENT,,,,6,1,6
16087,20181003,201810,036,https://www.galioninquirer.com/news/34530/influenza-flu-clinic-season-has-arrived-in-galion,1,HEALTH DEPARTMENT,,UNITED STATES,USA,4,1,4
16088,20181003,201810,036,https://www.galioninquirer.com/news/34530/influenza-flu-clinic-season-has-arrived-in-galion,1,UNITED STATES,USA,HEALTH DEPARTMENT,,4,1,4
16089,20181003,201810,036,https://www.galioninquirer.com/news/34530/influenza-flu-clinic-season-has-arrived-in-galion,1,,,HEALTH DEPARTMENT,,6,1,6
16090,20181019,201810,036,https://www.kristeligt-dagblad.dk/liv-sjael/boer-vi-lade-os-influenzavaccinere-faellesskabets-skyld,0,,,POPULATION,,6,1,6
16091,20181019,201810,036,https://www.kristeligt-dagblad.dk/liv-sjael/boer-vi-lade-os-influenzavaccinere-faellesskabets-skyld,0,DENMARK,DNK,POPULATION,,4,1,4
16092,20181005,201810,036,https://www.readingeagle.com/life/article/flashback-friday-100-years-ago-spanish-influenza-gripped-reading,0,MAYOR,,,,10,1,10
16093,20181002,201810,038,https://www.alcalorpolitico.com/informacion/solicita-intervencion-de-la-secretaria-de-salud-para-evitar-brote-de-influenza-en-escuela-de-xalapa-272123.html,1,AUTHORITIES,,EDUCATIONAL INSTITUTION,,10,1,10
16094,20181026,201810,040,http://comunicalo.it/2018/10/25/leuroparlamento-indaga-sullinfluenza-di-casaleggio-sugli-eletti/,1,COMPANY,,,,10,1,10
16095,20181026,201810,040,http://comunicalo.it/2018/10/25/leuroparlamento-indaga-sullinfluenza-di-casaleggio-sugli-eletti/,1,,,COMPANY,,10,1,10
16096,20181010,201810,040,http://www.hermistonherald.com/hh/local-news/20181016/hermiston-history-spanish-influenza-halts-all-public-gatherings,1,SCHOOL,,UNITED STATES,USA,4,1,4
16097,20181017,201810,040,http://www.hermistonherald.com/hh/local-news/20181016/hermiston-history-spanish-influenza-halts-all-public-gatherings,1,UNITED STATES,USA,SCHOOL,,4,1,4
