RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
192001,201611,http://www.newvision.co.ug/new_vision/news/1440173/kagadi-outbreak-ministry-testing-zika-yellow-fever,2,1,2,193,UGANDA,UGA,,
192002,201611,http://www.newvision.co.ug/new_vision/news/1440173/kagadi-outbreak-ministry-testing-zika-yellow-fever,2,1,2,193,VILLAGE,,UGANDA,UGA
192003,201611,http://www.newvision.co.ug/new_vision/news/1440173/kagadi-outbreak-ministry-testing-zika-yellow-fever,2,1,2,050,HEALTH MINIST,,UGANDA,UGA
192004,201611,http://www.newvision.co.ug/new_vision/news/1440173/kagadi-outbreak-ministry-testing-zika-yellow-fever,2,1,2,090,HEALTH MINIST,,,
192005,201611,http://www.newvision.co.ug/new_vision/news/1440173/kagadi-outbreak-ministry-testing-zika-yellow-fever,4,1,4,193,VILLAGE,,,
192006,201611,http://www.newvision.co.ug/new_vision/news/1440173/kagadi-outbreak-ministry-testing-zika-yellow-fever,4,1,4,020,HEALTH MINIST,,,
192007,201611,http://www.newvision.co.ug/new_vision/news/1440173/kagadi-outbreak-ministry-testing-zika-yellow-fever,5,1,5,090,HEALTH MINIST,,UGANDA,UGA
192008,201611,http://www.newvision.co.ug/new_vision/news/1440173/kagadi-outbreak-ministry-testing-zika-yellow-fever,7,1,5,090,HEALTH MINIST,,UGANDA,UGA
192009,201611,http://www.newvision.co.ug/new_vision/news/1440173/kagadi-outbreak-ministry-testing-zika-yellow-fever,6,1,6,020,HEALTH MINIST,,,
192010,201611,http://www.newvision.co.ug/new_vision/news/1440397/zika-world-public-health-emergency,3,1,3,111,BRAZIL,BRA,,
192011,201709,http://www.newvision.co.ug/new_vision/news/1461761/oyos-22nd-coronation-anniversary-karuzika-hill,2,1,2,141,UGANDA,UGA,KINGDOM,
192012,201709,http://www.newvision.co.ug/new_vision/news/1461761/oyos-22nd-coronation-anniversary-karuzika-hill,4,1,4,141,UGANDA,UGA,KINGDOM,
192013,201709,http://www.newvision.co.ug/new_vision/news/1461761/oyos-22nd-coronation-anniversary-karuzika-hill,4,1,4,141,KAMPALA,UGA,KINGDOM,
192014,201605,http://www.newyorker.com/business/currency/zikanomics-is-congress-on-the-mosquitoes-side,5,1,5,012,CONGRESS,,,
192015,201606,http://www.newyorker.com/business/currency/zikanomics-is-congress-on-the-mosquitoes-side,10,1,10,091,BANK,,,
192016,201602,http://www.newyorker.com/news/daily-comment/from-trump-to-zika-pope-franciss-eventful-plane-ride,4,1,4,120,PRESIDENT,,CHRISTIANITY,
192017,201605,http://www.newyorker.com/tech/elements/a-stronger-link-between-zika-and-birth-defects,1,1,1,042,BRAZIL,BRA,,
192018,201605,http://www.newyorker.com/tech/elements/a-stronger-link-between-zika-and-birth-defects,1,1,1,120,BRAZIL,BRA,,
192019,201605,http://www.newyorker.com/tech/elements/a-stronger-link-between-zika-and-birth-defects,1,1,1,042,BRAZIL,BRA,,
192020,201605,http://www.newyorker.com/tech/elements/a-stronger-link-between-zika-and-birth-defects,3,1,3,042,BRAZIL,BRA,,
192021,201605,http://www.newyorker.com/tech/elements/a-stronger-link-between-zika-and-birth-defects,8,1,8,043,,,BRAZIL,BRA
192022,201605,http://www.newyorker.com/tech/elements/a-stronger-link-between-zika-and-birth-defects,8,1,8,042,BRAZIL,BRA,,
192023,201605,http://www.newyorker.com/tech/elements/a-stronger-link-between-zika-and-birth-defects,10,1,10,090,DOCTOR,,,
