RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
16001,201602,http://bsccomment.com/2016/02/29/pregnant-woman-is-second-zika-case-in-los-angeles-county.html,5,1,5,042,SAN DIEGO,USA,COLOMBIA,COL
16002,201602,http://bsccomment.com/2016/02/29/pregnant-woman-is-second-zika-case-in-los-angeles-county.html,6,1,6,012,LIVERPOOL,GBR,,
16003,201603,http://bsccomment.com/2016/03/01/4th-pregnant-women-tests-positive-for-zika-in-florida.html,2,1,2,042,,,DANISH,DNK
16004,201603,http://bsccomment.com/2016/03/01/4th-pregnant-women-tests-positive-for-zika-in-florida.html,2,1,2,043,DANISH,DNK,,
16005,201603,http://bsccomment.com/2016/03/01/4th-pregnant-women-tests-positive-for-zika-in-florida.html,4,1,4,010,HEALTH OFFICIAL,,,
16006,201603,http://bsccomment.com/2016/03/01/4th-pregnant-women-tests-positive-for-zika-in-florida.html,6,1,6,010,HEALTH OFFICIAL,,,
16007,201602,http://bsccomment.com/2016/03/01/brazil-reports-increase-in-microcephaly-cases-linked-to-zika.html,10,1,10,111,BRAZIL,BRA,MALE,MDV
16008,201602,http://bsccomment.com/2016/03/01/brazil-reports-increase-in-microcephaly-cases-linked-to-zika.html,10,1,10,120,DOCTOR,,,
16009,201603,http://bsccomment.com/2016/03/01/cdc-at-least-14-cases-of-sexually-transmitted-zika-in-the-us.html,10,1,10,042,,,SENEGAL,SEN
16010,201603,http://bsccomment.com/2016/03/01/cdc-at-least-14-cases-of-sexually-transmitted-zika-in-the-us.html,10,1,10,090,GOOGLE,USA,AUSTRALIA,AUS
16011,201603,http://bsccomment.com/2016/03/01/mexico-says-11-pregnant-women-infected-with-zika.html,5,1,5,042,,,COLOMBIA,COL
16012,201603,http://bsccomment.com/2016/03/01/pittsburgh-kdka-the-number-of-zika-virus-cases-in.html,5,1,5,010,HEALTH OFFICIAL,,,
16013,201603,http://bsccomment.com/2016/03/01/united-states-says-14-new-cases-of-zika-virus-could-be.html,3,1,3,042,TRINIDAD AND TOBAGO,TTO,MARSHALL ISLANDS,MHL
16014,201603,http://bsccomment.com/2016/03/01/united-states-says-14-new-cases-of-zika-virus-could-be.html,7,1,7,090,TEXAS,USA,,
16015,201603,http://bsccomment.com/2016/03/01/zika-virus-detected-in-woman-in-spokane-county.html,2,1,2,020,BRITISH,GBR,,
16016,201603,http://bsccomment.com/2016/03/01/zika-virus-detected-in-woman-in-spokane-county.html,2,1,2,020,BRITISH,GBR,,
16017,201603,http://bsccomment.com/2016/03/01/zika-virus-detected-in-woman-in-spokane-county.html,4,1,4,036,UNITED STATES,USA,HEALTH DEPARTMENT,
16018,201603,http://bsccomment.com/2016/03/01/zika-virus-detected-in-woman-in-spokane-county.html,4,1,4,036,HEALTH DEPARTMENT,,UNITED STATES,USA
16019,201603,http://bsccomment.com/2016/03/01/zika-virus-detected-in-woman-in-spokane-county.html,6,1,6,036,DEPUTY,,HEALTH DEPARTMENT,
16020,201603,http://bsccomment.com/2016/03/01/zika-virus-detected-in-woman-in-spokane-county.html,6,1,6,020,BRITISH,GBR,,
16021,201603,http://bsccomment.com/2016/03/01/zika-virus-detected-in-woman-in-spokane-county.html,6,1,6,036,HEALTH DEPARTMENT,,DEPUTY,
16022,201603,http://bsccomment.com/2016/03/02/14-new-sexually-transmitted-zika-cases-reported.html,2,1,2,036,BRAZIL,BRA,BRAZIL,BRA
16023,201603,http://bsccomment.com/2016/03/02/14-new-sexually-transmitted-zika-cases-reported.html,4,1,4,036,BRAZILIAN,BRA,BRAZIL,BRA
16024,201603,http://bsccomment.com/2016/03/02/14-new-sexually-transmitted-zika-cases-reported.html,10,1,10,111,BRAZIL,BRA,MALE,MDV
