RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
160001,201810,http://www.iefimerida.gr/news/453192/o-gkigiermo-ntel-toro-etoimazei-rimeik-toy-pinokio-mioyzikal-me-marionetes,10,1,10,051,ACTOR,,,
160002,201609,http://www.ieyenews.com/wordpress/16-casesof-zika-in-cayman-islands-9-lovaly-transmitted/,5,1,5,043,,,GEORGE TOWN,CYM
160003,201609,http://www.ieyenews.com/wordpress/16-casesof-zika-in-cayman-islands-9-lovaly-transmitted/,5,1,5,061,,,GEORGE TOWN,CYM
160004,201609,http://www.ieyenews.com/wordpress/16-casesof-zika-in-cayman-islands-9-lovaly-transmitted/,5,1,5,042,GEORGE TOWN,CYM,CAYMAN ISLAND,CYM
160005,201609,http://www.ieyenews.com/wordpress/16-casesof-zika-in-cayman-islands-9-lovaly-transmitted/,5,1,5,042,GEORGE TOWN,CYM,,
160006,201609,http://www.ieyenews.com/wordpress/16-casesof-zika-in-cayman-islands-9-lovaly-transmitted/,5,1,5,043,CAYMAN ISLAND,CYM,GEORGE TOWN,CYM
160007,201609,http://www.ieyenews.com/wordpress/16-casesof-zika-in-cayman-islands-9-lovaly-transmitted/,10,1,10,042,,,CAYMAN ISLAND,CYM
160008,201609,http://www.ieyenews.com/wordpress/16-casesof-zika-in-cayman-islands-9-lovaly-transmitted/,10,1,10,043,,,CAYMAN ISLAND,CYM
160009,201609,http://www.ieyenews.com/wordpress/16-casesof-zika-in-cayman-islands-9-lovaly-transmitted/,10,1,10,043,CAYMAN ISLAND,CYM,,
160010,201609,http://www.ieyenews.com/wordpress/16-casesof-zika-in-cayman-islands-9-lovaly-transmitted/,10,1,10,042,CAYMAN ISLAND,CYM,,
160011,201607,http://www.ieyenews.com/wordpress/2-zika-virus-cases-confirmed-in-cayman-islands/,10,1,10,112,CAYMAN ISLAND,CYM,,
160012,201602,http://www.ieyenews.com/wordpress/air-canada-backs-down-will-refund-pregnant-manitobans-caribbean-trip-over-zika-concerns/,1,1,1,043,SAINT LUCIA,LCA,HEALTH CARE PROVIDER,
160013,201602,http://www.ieyenews.com/wordpress/air-canada-backs-down-will-refund-pregnant-manitobans-caribbean-trip-over-zika-concerns/,1,1,1,043,SAINT LUCIA,LCA,HEALTH CARE PROVIDER,
160014,201602,http://www.ieyenews.com/wordpress/air-canada-backs-down-will-refund-pregnant-manitobans-caribbean-trip-over-zika-concerns/,1,1,1,042,HEALTH CARE PROVIDER,,SAINT LUCIA,LCA
160015,201602,http://www.ieyenews.com/wordpress/air-canada-backs-down-will-refund-pregnant-manitobans-caribbean-trip-over-zika-concerns/,1,1,1,042,HEALTH CARE PROVIDER,,SAINT LUCIA,LCA
160016,201602,http://www.ieyenews.com/wordpress/air-canada-backs-down-will-refund-pregnant-manitobans-caribbean-trip-over-zika-concerns/,2,1,2,010,AIRLINE,,,
160017,201602,http://www.ieyenews.com/wordpress/air-canada-backs-down-will-refund-pregnant-manitobans-caribbean-trip-over-zika-concerns/,2,1,2,012,SAINT LUCIA,LCA,HEALTH CARE PROVIDER,
160018,201602,http://www.ieyenews.com/wordpress/air-canada-backs-down-will-refund-pregnant-manitobans-caribbean-trip-over-zika-concerns/,4,2,4,020,CANADA,CAN,DOCTOR,
160019,201602,http://www.ieyenews.com/wordpress/air-canada-backs-down-will-refund-pregnant-manitobans-caribbean-trip-over-zika-concerns/,8,1,8,012,,,HEALTH CARE PROVIDER,
160020,201602,http://www.ieyenews.com/wordpress/air-canada-backs-down-will-refund-pregnant-manitobans-caribbean-trip-over-zika-concerns/,8,1,8,020,CANADA,CAN,DOCTOR,
160021,201602,http://www.ieyenews.com/wordpress/air-canada-backs-down-will-refund-pregnant-manitobans-caribbean-trip-over-zika-concerns/,10,1,10,040,CANADA,CAN,DOCTOR,
160022,201602,http://www.ieyenews.com/wordpress/air-canada-backs-down-will-refund-pregnant-manitobans-caribbean-trip-over-zika-concerns/,10,1,10,040,DOCTOR,,CANADA,CAN
160023,201602,http://www.ieyenews.com/wordpress/at-least-14-new-cases-of-possible-sexual-transmission-of-zika-virus-cdc/,1,1,1,043,MARSHALL ISLANDS,MHL,TRINIDAD AND TOBAGO,TTO
160024,201602,http://www.ieyenews.com/wordpress/at-least-14-new-cases-of-possible-sexual-transmission-of-zika-virus-cdc/,6,1,6,043,MARSHALL ISLANDS,MHL,TRINIDAD AND TOBAGO,TTO
160025,201602,http://www.ieyenews.com/wordpress/at-least-14-new-cases-of-possible-sexual-transmission-of-zika-virus-cdc/,7,1,7,042,TRINIDAD AND TOBAGO,TTO,MARSHALL ISLANDS,MHL
