RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
256001,201804,https://www.iol.co.za/mercury/anc-dilemma-over-who-should-contest-zikalala-14640822,2,1,2,040,,,AFRICA,AFR
256002,201804,https://www.iol.co.za/mercury/anc-dilemma-over-who-should-contest-zikalala-14640822,2,1,2,040,,,AFRICA,AFR
256003,201803,https://www.iol.co.za/mercury/anc-dilemma-over-who-should-contest-zikalala-14640822,2,1,2,120,,,AFRICA,AFR
256004,201803,https://www.iol.co.za/mercury/anc-dilemma-over-who-should-contest-zikalala-14640822,2,1,2,120,,,AFRICA,AFR
256005,201804,https://www.iol.co.za/mercury/anc-dilemma-over-who-should-contest-zikalala-14640822,2,1,2,040,AFRICA,AFR,,
256006,201804,https://www.iol.co.za/mercury/anc-dilemma-over-who-should-contest-zikalala-14640822,2,1,2,040,AFRICA,AFR,,
256007,201803,https://www.iol.co.za/mercury/anc-dilemma-over-who-should-contest-zikalala-14640822,4,1,4,025,,,AFRICA,AFR
256008,201803,https://www.iol.co.za/mercury/anc-dilemma-over-who-should-contest-zikalala-14640822,4,1,4,120,,,AFRICA,AFR
256009,201803,https://www.iol.co.za/mercury/anc-dilemma-over-who-should-contest-zikalala-14640822,4,1,4,025,,,AFRICA,AFR
256010,201809,https://www.iol.co.za/mercury/news/zikalala-calls-for-strategic-co-operation-between-anc-municipalities-16939855,2,1,2,040,,,DURBAN,ZAF
256011,201809,https://www.iol.co.za/mercury/news/zikalala-calls-for-strategic-co-operation-between-anc-municipalities-16939855,2,1,2,040,DURBAN,ZAF,,
256012,201809,https://www.iol.co.za/mercury/news/zikalala-calls-for-strategic-co-operation-between-anc-municipalities-16939855,4,1,4,040,,,AFRICA,AFR
256013,201809,https://www.iol.co.za/mercury/news/zikalala-calls-for-strategic-co-operation-between-anc-municipalities-16939855,4,1,4,040,AFRICA,AFR,,
256014,201809,https://www.iol.co.za/mercury/news/zikalala-calls-for-strategic-co-operation-between-anc-municipalities-16939855,4,1,4,012,AFRICA,AFR,,
256015,201809,https://www.iol.co.za/mercury/news/zikalala-calls-for-strategic-co-operation-between-anc-municipalities-16939855,4,1,4,040,AFRICA,AFR,DURBAN,ZAF
256016,201809,https://www.iol.co.za/mercury/news/zikalala-calls-for-strategic-co-operation-between-anc-municipalities-16939855,4,1,4,020,AFRICA,AFR,ADMINISTRATION,
256017,201809,https://www.iol.co.za/mercury/news/zikalala-calls-for-strategic-co-operation-between-anc-municipalities-16939855,4,1,4,020,AFRICA,AFR,,
256018,201809,https://www.iol.co.za/mercury/news/zikalala-calls-for-strategic-co-operation-between-anc-municipalities-16939855,4,1,4,040,DURBAN,ZAF,AFRICA,AFR
256019,201809,https://www.iol.co.za/mercury/news/zikalala-calls-for-strategic-co-operation-between-anc-municipalities-16939855,6,1,6,020,ADMINISTRATION,,,
256020,201807,https://www.iol.co.za/mercury/news/zikalala-elects-new-board-at-ezemvelo-16012079,2,1,2,020,AFRICA,AFR,,
256021,201807,https://www.iol.co.za/mercury/news/zikalala-elects-new-board-at-ezemvelo-16012079,4,1,4,051,AFRICA,AFR,,
256022,201806,https://www.iol.co.za/mercury/zikalala-determined-to-pull-plug-on-miners-in-harding-area-looking-for-gold-15299482,4,1,4,012,AFRICA,AFR,,
256023,201806,https://www.iol.co.za/mercury/zikalala-determined-to-pull-plug-on-miners-in-harding-area-looking-for-gold-15299482,5,1,5,042,,,RESIDENTS,
256024,201806,https://www.iol.co.za/mercury/zikalala-determined-to-pull-plug-on-miners-in-harding-area-looking-for-gold-15299482,5,1,5,043,RESIDENTS,,,
256025,201806,https://www.iol.co.za/mercury/zikalala-determined-to-pull-plug-on-miners-in-harding-area-looking-for-gold-15299482,5,1,5,043,RESIDENTS,,GOVERNMENT,
256026,201806,https://www.iol.co.za/mercury/zikalala-determined-to-pull-plug-on-miners-in-harding-area-looking-for-gold-15299482,5,1,5,042,GOVERNMENT,,RESIDENTS,
