RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
224001,201609,http://www.thestar.com.my/metro/community/2016/09/20/many-ignorant-of-danger-villagers-still-largely-unclear-about-zika-and-dengue/,8,1,8,040,VILLAGER,,MALAYSIA,MYS
224002,201512,http://www.thestar.com.my/news/nation/2015/12/05/birth-of-a-new-infection-after-dengue-fever-aedes-mosquitoes-now-bring-the-zika-virus/,2,1,2,012,BRAZIL,BRA,,
224003,201512,http://www.thestar.com.my/news/nation/2015/12/05/birth-of-a-new-infection-after-dengue-fever-aedes-mosquitoes-now-bring-the-zika-virus/,2,1,2,012,ABU BAKAR,SEA,BRAZIL,BRA
224004,201512,http://www.thestar.com.my/news/nation/2015/12/05/birth-of-a-new-infection-after-dengue-fever-aedes-mosquitoes-now-bring-the-zika-virus/,6,1,6,012,ABU BAKAR,SEA,,
224005,201601,http://www.thestar.com.my/news/nation/2016/01/29/health-department-malaysia-vulnerable-to-spread-of-zika-virus/,1,1,1,130,MALAYSIA,MYS,HEALTH MINIST,
224006,201601,http://www.thestar.com.my/news/nation/2016/01/29/health-department-malaysia-vulnerable-to-spread-of-zika-virus/,1,1,1,130,HEALTH MINIST,,MALAYSIA,MYS
224007,201601,http://www.thestar.com.my/news/nation/2016/01/29/health-department-malaysia-vulnerable-to-spread-of-zika-virus/,3,1,3,130,HEALTH MINIST,,MALAYSIA,MYS
224008,201601,http://www.thestar.com.my/news/nation/2016/01/29/health-department-malaysia-vulnerable-to-spread-of-zika-virus/,5,1,5,130,MALAYSIA,MYS,HEALTH MINIST,
224009,201601,http://www.thestar.com.my/news/nation/2016/01/29/health-department-malaysia-vulnerable-to-spread-of-zika-virus/,10,1,10,090,DEPUTY,,MINISTRY,
224010,201602,http://www.thestar.com.my/news/nation/2016/02/02/malaysian-women-taking-no-chances-with-zika-virus/,4,1,4,012,MALAYSIA,MYS,,
224011,201602,http://www.thestar.com.my/news/nation/2016/02/02/zika-virus-health-ministry-to-issue-guidelines-in-next-48-hours/,2,1,2,036,HEALTH MINIST,,UNITED STATES,USA
224012,201602,http://www.thestar.com.my/news/nation/2016/02/02/zika-virus-health-ministry-to-issue-guidelines-in-next-48-hours/,6,1,6,020,MINISTRY,,UNITED STATES,USA
224013,201602,http://www.thestar.com.my/news/nation/2016/02/03/planning-ahead-for-zika-health-ministry-to-issue-guidelines-to-combat-virus/,2,1,2,045,HEALTH MINIST,,,
224014,201602,http://www.thestar.com.my/news/nation/2016/02/03/planning-ahead-for-zika-health-ministry-to-issue-guidelines-to-combat-virus/,2,1,2,190,HEALTH MINIST,,,
224015,201602,http://www.thestar.com.my/news/nation/2016/02/03/planning-ahead-for-zika-health-ministry-to-issue-guidelines-to-combat-virus/,4,1,4,043,SABAH,MYS,GERMAN,DEU
224016,201602,http://www.thestar.com.my/news/nation/2016/02/03/planning-ahead-for-zika-health-ministry-to-issue-guidelines-to-combat-virus/,4,1,4,042,GERMAN,DEU,SABAH,MYS
224017,201602,http://www.thestar.com.my/news/nation/2016/02/03/planning-ahead-for-zika-health-ministry-to-issue-guidelines-to-combat-virus/,4,1,4,190,GERMANY,DEU,MALAYSIA,MYS
224018,201602,http://www.thestar.com.my/news/nation/2016/02/03/planning-ahead-for-zika-health-ministry-to-issue-guidelines-to-combat-virus/,6,1,6,043,SABAH,MYS,GERMAN,DEU
224019,201602,http://www.thestar.com.my/news/nation/2016/02/03/planning-ahead-for-zika-health-ministry-to-issue-guidelines-to-combat-virus/,6,1,6,190,DEPUTY,,MALAYSIA,MYS
224020,201602,http://www.thestar.com.my/news/nation/2016/02/03/planning-ahead-for-zika-health-ministry-to-issue-guidelines-to-combat-virus/,6,1,6,042,GERMAN,DEU,SABAH,MYS
224021,201602,http://www.thestar.com.my/news/nation/2016/02/03/planning-ahead-for-zika-health-ministry-to-issue-guidelines-to-combat-virus/,8,1,8,045,MALAYSIA,MYS,HEALTH MINIST,
224022,201602,http://www.thestar.com.my/news/nation/2016/02/03/planning-ahead-for-zika-health-ministry-to-issue-guidelines-to-combat-virus/,8,1,8,190,MALAYSIA,MYS,HEALTH MINIST,
224023,201602,http://www.thestar.com.my/news/nation/2016/02/03/planning-ahead-for-zika-health-ministry-to-issue-guidelines-to-combat-virus/,10,1,10,110,BRAZIL,BRA,,
224024,201602,http://www.thestar.com.my/news/nation/2016/02/05/more-dengue-deaths-as-zika-looms-ministry-37-fatalities-recorded-so-far-this-year-number-of-cases-on/,10,1,10,012,HEALTH MINIST,,,
224025,201602,http://www.thestar.com.my/news/nation/2016/02/26/brazil-steps-up-efforts-to-battle-zika-amidst-coming-olympics/,3,1,3,010,BRAZILIAN,BRA,,
224026,201602,http://www.thestar.com.my/news/nation/2016/02/26/brazil-steps-up-efforts-to-battle-zika-amidst-coming-olympics/,4,1,4,010,BRAZILIAN,BRA,,
224027,201602,http://www.thestar.com.my/news/nation/2016/02/29/urgent-need-for-zika-guidelines-malaysia-need-not-wait-for-who-to-come-out-with-rules/,10,1,10,043,,,THE US,USA
224028,201602,http://www.thestar.com.my/news/nation/2016/02/29/urgent-need-for-zika-guidelines-malaysia-need-not-wait-for-who-to-come-out-with-rules/,10,1,10,042,THE US,USA,,
224029,201605,http://www.thestar.com.my/news/nation/2016/05/16/msians-in-spore-urged-to-take-preventive-measures-against-zika/,2,1,2,042,MALE,MDV,SAO PAULO,BRA
224030,201605,http://www.thestar.com.my/news/nation/2016/05/16/msians-in-spore-urged-to-take-preventive-measures-against-zika/,2,1,2,043,SAO PAULO,BRA,MALE,MDV
224031,201605,http://www.thestar.com.my/news/nation/2016/05/16/msians-in-spore-urged-to-take-preventive-measures-against-zika/,8,1,8,042,MALE,MDV,SAO PAULO,BRA
224032,201605,http://www.thestar.com.my/news/nation/2016/05/16/msians-in-spore-urged-to-take-preventive-measures-against-zika/,8,1,8,043,SAO PAULO,BRA,MALE,MDV
224033,201605,http://www.thestar.com.my/news/nation/2016/05/16/msians-in-spore-urged-to-take-preventive-measures-against-zika/,10,1,10,020,MALAYSIAN,MYS,SINGAPORE,SGP
224034,201605,http://www.thestar.com.my/news/nation/2016/05/21/subra-no-alarm-to-be-raised-over-spore-zika-case/,10,1,10,020,,,JOHOR,MYS
224035,201605,http://www.thestar.com.my/news/nation/2016/05/21/subra-no-alarm-to-be-raised-over-spore-zika-case/,10,1,10,111,,,JOHOR,MYS
224036,201608,http://www.thestar.com.my/news/nation/2016/08/27/first-case-of-locally-transmitted-zika-virus-infection-reported-in-singapore-moh-nea/,2,1,2,020,RESIDENTS,,,
224037,201608,http://www.thestar.com.my/news/nation/2016/08/27/first-case-of-locally-transmitted-zika-virus-infection-reported-in-singapore-moh-nea/,6,1,6,020,RESIDENTS,,SINGAPORE,SGP
224038,201608,http://www.thestar.com.my/news/nation/2016/08/27/first-case-of-locally-transmitted-zika-virus-infection-reported-in-singapore-moh-nea/,6,1,6,090,RESIDENTS,,SINGAPORE,SGP
224039,201608,http://www.thestar.com.my/news/nation/2016/08/28/health-ministry-zika-monitoring/,1,1,1,043,,,SINGAPORE,SGP
224040,201608,http://www.thestar.com.my/news/nation/2016/08/28/health-ministry-zika-monitoring/,1,1,1,042,SINGAPORE,SGP,,
224041,201608,http://www.thestar.com.my/news/nation/2016/08/28/health-ministry-zika-monitoring/,2,1,2,090,MALAYSIA,MYS,SINGAPORE,SGP
224042,201608,http://www.thestar.com.my/news/nation/2016/08/28/health-ministry-zika-monitoring/,2,1,2,090,HEALTH MINIST,,JOHOR,MYS
224043,201608,http://www.thestar.com.my/news/nation/2016/08/28/health-ministry-zika-monitoring/,2,1,2,090,HEALTH MINIST,,JOHOR,MYS
224044,201608,http://www.thestar.com.my/news/nation/2016/08/28/health-ministry-zika-monitoring/,4,1,4,043,,,SINGAPORE,SGP
224045,201608,http://www.thestar.com.my/news/nation/2016/08/28/health-ministry-zika-monitoring/,4,1,4,090,MALAYSIA,MYS,SINGAPORE,SGP
224046,201608,http://www.thestar.com.my/news/nation/2016/08/28/health-ministry-zika-monitoring/,4,1,4,042,SINGAPORE,SGP,,
224047,201608,http://www.thestar.com.my/news/nation/2016/08/28/health-ministry-zika-monitoring/,4,1,4,090,HEALTH MINIST,,SINGAPORE,SGP
224048,201608,http://www.thestar.com.my/news/nation/2016/08/28/health-ministry-zika-monitoring/,16,1,10,090,HEALTH MINIST,,SINGAPORE,SGP
224049,201608,http://www.thestar.com.my/news/nation/2016/08/29/ministry-steps-up-zika-monitoring-measures-in-response-to-malaysian-woman-found-infected-in-singapor/,2,1,2,042,,,MALAYSIA,MYS
224050,201608,http://www.thestar.com.my/news/nation/2016/08/29/ministry-steps-up-zika-monitoring-measures-in-response-to-malaysian-woman-found-infected-in-singapor/,2,1,2,043,MALAYSIA,MYS,,
224051,201608,http://www.thestar.com.my/news/nation/2016/08/29/ministry-steps-up-zika-monitoring-measures-in-response-to-malaysian-woman-found-infected-in-singapor/,2,1,2,057,TRAVELLER,,KUALA LUMPUR,MYS
224052,201608,http://www.thestar.com.my/news/nation/2016/08/29/ministry-steps-up-zika-monitoring-measures-in-response-to-malaysian-woman-found-infected-in-singapor/,2,1,2,090,KUALA LUMPUR,MYS,SINGAPORE,SGP
224053,201608,http://www.thestar.com.my/news/nation/2016/08/29/ministry-steps-up-zika-monitoring-measures-in-response-to-malaysian-woman-found-infected-in-singapor/,3,1,3,043,MALAYSIAN,MYS,SINGAPORE,SGP
224054,201608,http://www.thestar.com.my/news/nation/2016/08/29/ministry-steps-up-zika-monitoring-measures-in-response-to-malaysian-woman-found-infected-in-singapor/,3,1,3,042,SINGAPORE,SGP,MALAYSIAN,MYS
224055,201608,http://www.thestar.com.my/news/nation/2016/08/29/ministry-steps-up-zika-monitoring-measures-in-response-to-malaysian-woman-found-infected-in-singapor/,10,1,10,090,MINISTRY,,,
224056,201608,http://www.thestar.com.my/news/nation/2016/08/29/world-on-alert-for-zika-outbreaks/,10,1,10,061,,,BRAZIL,BRA
224057,201608,http://www.thestar.com.my/news/nation/2016/08/31/thailand-reports-hike-in-zika-cases/,4,1,4,030,THAILAND,THA,,
224058,201608,http://www.thestar.com.my/news/nation/2016/08/31/thailand-reports-hike-in-zika-cases/,6,1,6,090,AUTHORITIES,,,
224059,201608,http://www.thestar.com.my/news/nation/2016/08/31/thailand-reports-hike-in-zika-cases/,10,1,10,010,CHIANG MAI,THA,,
224060,201608,http://www.thestar.com.my/news/nation/2016/08/31/thailand-reports-hike-in-zika-cases/,10,1,10,020,AUTHORITIES,,THAILAND,THA
224061,201609,http://www.thestar.com.my/news/nation/2016/09/01/first-case-of-pregnant-woman-with-zika-in-singapore/,10,1,10,020,MALE,MDV,,
224062,201609,http://www.thestar.com.my/news/nation/2016/09/01/first-case-of-pregnant-woman-with-zika-in-singapore/,10,1,10,090,MINIST OF HEALTH,,,
224063,201609,http://www.thestar.com.my/news/nation/2016/09/01/health-ministry-steps-up-checks-zika-after-woman-infected/,10,1,10,036,,,SINGAPORE,SGP
224064,201609,http://www.thestar.com.my/news/nation/2016/09/01/health-ministry-steps-up-checks-zika-after-woman-infected/,10,1,10,036,SINGAPORE,SGP,,
224065,201609,http://www.thestar.com.my/news/nation/2016/09/02/doc-clean-up-your-act-malaysians-told-to-curb-spread-of-zika-by-cleaning-homes/,10,1,10,100,,,MALAYSIAN,MYS
224066,201609,http://www.thestar.com.my/news/nation/2016/09/02/regional-effort-absolutely-vital-in-combating-zika-says-najib/,10,1,10,130,GENERAL ASSEMBLY,,POLITICAL PARTIES,
224067,201609,http://www.thestar.com.my/news/nation/2016/09/02/take-more-precautions-malaysians-told-of-zika-virus/,4,1,4,010,MALAYSIAN,MYS,,
224068,201609,http://www.thestar.com.my/news/nation/2016/09/02/take-more-precautions-malaysians-told-of-zika-virus/,5,1,5,043,,,TRAVELLER,
224069,201609,http://www.thestar.com.my/news/nation/2016/09/02/take-more-precautions-malaysians-told-of-zika-virus/,5,1,5,042,TRAVELLER,,,
224070,201609,http://www.thestar.com.my/news/nation/2016/09/02/take-more-precautions-malaysians-told-of-zika-virus/,10,1,7,010,MALAYSIAN,MYS,,
224071,201609,http://www.thestar.com.my/news/nation/2016/09/02/the-zika-virus/,10,1,10,090,UGANDA,UGA,,
224072,201609,http://www.thestar.com.my/news/nation/2016/09/03/experts-worried-about-slashed-research-funding-for-more-zika-stories-zika-can-lead-to-developmental/,10,1,10,071,DEPUTY,,UNIVERSITY,
224073,201609,http://www.thestar.com.my/news/nation/2016/09/03/experts-worried-about-slashed-research-funding-for-more-zika-stories-zika-can-lead-to-developmental/,10,1,10,012,MALAYSIAN,MYS,,
224074,201609,http://www.thestar.com.my/news/nation/2016/09/03/experts-worried-about-slashed-research-funding-for-more-zika-stories-zika-can-lead-to-developmental/,10,1,10,071,MALAYSIAN,MYS,,
224075,201609,http://www.thestar.com.my/news/nation/2016/09/03/experts-worried-about-slashed-research-funding-for-more-zika-stories-zika-can-lead-to-developmental/,10,1,10,071,GOVERNMENT,,,
224076,201609,http://www.thestar.com.my/news/nation/2016/09/03/family-of-three-in-malacca-will-be-screened-for-zika-says-health-minister/,4,1,4,110,,,MALAYSIA,MYS
224077,201609,http://www.thestar.com.my/news/nation/2016/09/04/health-ministry-warns-of-more-zika-cases/,4,1,4,036,MINISTRY,,SINGAPORE,SGP
