RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
64001,201703,http://news.asiaone.com/news/singapore/kindness-and-concern-years-first-zika-cluster,10,1,10,010,RESIDENTS,,,
64002,201605,http://news.asiaone.com/news/singapore/man-back-brazil-first-zika-case-singapore,2,1,2,043,BRAZIL,BRA,SINGAPORE,SGP
64003,201605,http://news.asiaone.com/news/singapore/man-back-brazil-first-zika-case-singapore,2,1,2,043,BRAZIL,BRA,SINGAPORE,SGP
64004,201605,http://news.asiaone.com/news/singapore/man-back-brazil-first-zika-case-singapore,2,1,2,013,HOLLAND,NLD,,
64005,201605,http://news.asiaone.com/news/singapore/man-back-brazil-first-zika-case-singapore,2,1,2,043,SAO PAULO,BRA,SINGAPORE,SGP
64006,201605,http://news.asiaone.com/news/singapore/man-back-brazil-first-zika-case-singapore,2,1,2,042,SINGAPORE,SGP,BRAZIL,BRA
64007,201605,http://news.asiaone.com/news/singapore/man-back-brazil-first-zika-case-singapore,2,1,2,042,SINGAPORE,SGP,BRAZIL,BRA
64008,201605,http://news.asiaone.com/news/singapore/man-back-brazil-first-zika-case-singapore,2,1,2,042,SINGAPORE,SGP,SAO PAULO,BRA
64009,201605,http://news.asiaone.com/news/singapore/man-back-brazil-first-zika-case-singapore,2,1,2,013,NETHERLANDS,NLD,SINGAPORE,SGP
64010,201605,http://news.asiaone.com/news/singapore/man-back-brazil-first-zika-case-singapore,6,1,6,013,HOLLAND,NLD,SINGAPORE,SGP
64011,201605,http://news.asiaone.com/news/singapore/man-back-brazil-first-zika-case-singapore,10,1,10,042,SINGAPORE,SGP,BRAZIL,BRA
64012,201608,http://news.asiaone.com/news/singapore/rise-zika-spore-travellers-entering-johor-bus-be-screened,2,1,2,042,JOHOR,MYS,MALAYSIA,MYS
64013,201608,http://news.asiaone.com/news/singapore/rise-zika-spore-travellers-entering-johor-bus-be-screened,8,1,8,042,JOHOR,MYS,HOSPITAL,
64014,201609,http://news.asiaone.com/news/singapore/zika-outbreak-crowds-return-ghost-town-food-centres,5,1,5,042,,,SINGAPORE,SGP
64015,201609,http://news.asiaone.com/news/singapore/zika-outbreak-crowds-return-ghost-town-food-centres,5,1,5,043,SINGAPORE,SGP,,
64016,201609,http://news.asiaone.com/news/singapore/zika-outbreak-crowds-return-ghost-town-food-centres,10,1,10,042,MEDIA,,SINGAPORE,SGP
64017,201609,http://news.asiaone.com/news/singapore/zika-outbreak-crowds-return-ghost-town-food-centres,10,1,10,043,SINGAPORE,SGP,MEDIA,
64018,201609,http://news.asiaone.com/news/singapore/zika-singapore-parents-cut-down-childrens-outdoor-activities,3,1,3,090,SINGAPORE,SGP,,
64019,201609,http://news.asiaone.com/news/singapore/zika-singapore-parents-cut-down-childrens-outdoor-activities,10,1,10,042,,,TOURIST,
64020,201609,http://news.asiaone.com/news/singapore/zika-singapore-parents-cut-down-childrens-outdoor-activities,10,1,10,043,TOURIST,,,
64021,201602,http://news.asiaone.com/news/world/australia-step-zika-testing-2-new-cases-reported,2,1,2,043,SAMOA,WSM,QUEENSLAND,AUS
