RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
176001,201602,http://www.lidtime.com/pregnant-vic-woman-has-zika-virus-7390/,1,1,1,042,VICTORIA,AUS,UNITED STATES,USA
176002,201602,http://www.lidtime.com/pregnant-vic-woman-has-zika-virus-7390/,1,1,1,043,UNITED STATES,USA,VICTORIA,AUS
176003,201602,http://www.lidtime.com/pregnant-vic-woman-has-zika-virus-7390/,1,1,1,043,UNITED STATES,USA,VICTORIA,AUS
176004,201602,http://www.lidtime.com/pregnant-vic-woman-has-zika-virus-7390/,2,1,2,043,,,VICTORIA,AUS
176005,201602,http://www.lidtime.com/pregnant-vic-woman-has-zika-virus-7390/,2,1,2,042,MAYOR,,,
176006,201602,http://www.lidtime.com/pregnant-vic-woman-has-zika-virus-7390/,2,1,2,042,VICTORIA,AUS,,
176007,201602,http://www.lidtime.com/pregnant-vic-woman-has-zika-virus-7390/,2,1,2,042,VICTORIA,AUS,HEALTH MINIST,
176008,201602,http://www.lidtime.com/pregnant-vic-woman-has-zika-virus-7390/,3,1,3,043,,,VICTORIA,AUS
176009,201602,http://www.lidtime.com/pregnant-vic-woman-has-zika-virus-7390/,3,1,3,042,VICTORIA,AUS,,
176010,201602,http://www.lidtime.com/pregnant-vic-woman-has-zika-virus-7390/,3,1,3,043,HEALTH MINIST,,VICTORIA,AUS
176011,201602,http://www.lidtime.com/pregnant-vic-woman-has-zika-virus-7390/,4,1,4,112,MAYOR,,,
176012,201601,http://www.lidtime.com/pregnant-woman-among-3-confirmed-zika-cases-in-new-york-city-3560/,2,1,2,042,HOUSTON,USA,COLOMBIA,COL
176013,201601,http://www.lidtime.com/pregnant-woman-among-3-confirmed-zika-cases-in-new-york-city-3560/,2,1,2,043,COLOMBIA,COL,HOUSTON,USA
176014,201601,http://www.lidtime.com/pregnant-woman-among-3-confirmed-zika-cases-in-new-york-city-3560/,4,1,4,020,UNITED STATES,USA,DEPUTY,
176015,201601,http://www.lidtime.com/pregnant-woman-among-3-confirmed-zika-cases-in-new-york-city-3560/,5,1,5,042,HOUSTON,USA,COLOMBIA,COL
176016,201601,http://www.lidtime.com/pregnant-woman-among-3-confirmed-zika-cases-in-new-york-city-3560/,5,1,5,043,COLOMBIA,COL,HOUSTON,USA
176017,201601,http://www.lidtime.com/pregnant-woman-among-3-confirmed-zika-cases-in-new-york-city-3560/,6,1,6,020,NEW YORK,USA,DEPUTY,
176018,201602,http://www.lidtime.com/pregnant-woman-diagnosed-with-zika-in-australia-1363/,4,1,4,010,COLOMBIAN,COL,COLOMBIA,COL
176019,201602,http://www.lidtime.com/pregnant-woman-diagnosed-with-zika-in-australia-1363/,6,1,6,010,COLOMBIAN,COL,,
176020,201602,http://www.lidtime.com/pregnant-woman-diagnosed-with-zika-in-queensland-8486/,1,1,1,036,HEALTH OFFICIAL,,,
176021,201602,http://www.lidtime.com/pregnant-woman-diagnosed-with-zika-in-queensland-8486/,2,1,2,160,UNITED STATES,USA,,
176022,201602,http://www.lidtime.com/pregnant-woman-diagnosed-with-zika-in-queensland-8486/,5,1,5,042,CHINA,CHN,VENEZUELA,VEN
176023,201602,http://www.lidtime.com/pregnant-woman-diagnosed-with-zika-in-queensland-8486/,5,1,5,036,HEALTH OFFICIAL,,,
176024,201602,http://www.lidtime.com/pregnant-woman-diagnosed-with-zika-in-queensland-8486/,10,1,10,036,GOVERNMENT,,,
176025,201602,http://www.lidtime.com/pregnant-woman-diagnosed-with-zika-in-queensland-8486/,14,2,14,036,HEALTH OFFICIAL,,,
176026,201602,http://www.lidtime.com/pregnant-woman-found-with-zika-in-spain-8176/,3,1,3,010,MINIST,,,
176027,201602,http://www.lidtime.com/pregnant-woman-found-with-zika-in-spain-8176/,6,1,6,120,HEALTH OFFICIAL,,,
176028,201602,http://www.lidtime.com/pregnant-woman-found-with-zika-in-spain-8176/,10,1,10,042,HEALTH DEPARTMENT,,COLOMBIA,COL
176029,201602,http://www.lidtime.com/pregnant-woman-found-with-zika-in-spain-8176/,16,2,16,042,,,EL SALVADOR,SLV
176030,201602,http://www.lidtime.com/pregnant-women-in-florida-diagnosed-with-zika-virus-9585/,10,1,10,043,,,MALE,MDV
176031,201602,http://www.lidtime.com/pregnant-women-in-florida-diagnosed-with-zika-virus-9585/,10,1,10,042,MALE,MDV,,
176032,201608,http://www.lidtime.com/pregnant-women-should-avoid-part-of-miami-beach-affected-by-zika-cdc-5389/,2,1,2,012,THE US,USA,PUERTO RICO,USA
176033,201608,http://www.lidtime.com/pregnant-women-should-avoid-part-of-miami-beach-affected-by-zika-cdc-5389/,8,1,8,012,THE US,USA,PUERTO RICO,USA
176034,201602,http://www.lidtime.com/pregnant-women-should-consider-delaying-travel-to-zika-areas-3146/,3,1,3,010,BRAZILIAN,BRA,TEXAS,USA
176035,201602,http://www.lidtime.com/pregnant-women-test-positive-for-zika-in-florida-7853/,7,1,7,051,SANTO DOMINGO,DOM,GOVERNMENT,
176036,201602,http://www.lidtime.com/pregnant-women-test-positive-for-zika-in-florida-7853/,10,1,10,120,WORLD HEALTH ORGANIZATION,,,
176037,201601,http://www.lidtime.com/pregnant-women-told-to-avoid-countries-with-zika-outbreaks-1074/,2,1,2,043,BRAZIL,BRA,UNITED STATES,USA
176038,201601,http://www.lidtime.com/pregnant-women-told-to-avoid-countries-with-zika-outbreaks-1074/,2,1,2,042,TRAVELER,,UNITED STATES,USA
176039,201601,http://www.lidtime.com/pregnant-women-told-to-avoid-countries-with-zika-outbreaks-1074/,2,1,2,042,UNITED STATES,USA,BRAZIL,BRA
176040,201601,http://www.lidtime.com/pregnant-women-told-to-avoid-countries-with-zika-outbreaks-1074/,8,1,8,043,BRAZIL,BRA,UNITED STATES,USA
176041,201601,http://www.lidtime.com/pregnant-women-told-to-avoid-countries-with-zika-outbreaks-1074/,8,1,8,042,UNITED STATES,USA,BRAZIL,BRA
176042,201601,http://www.lidtime.com/pregnant-women-told-to-avoid-countries-with-zika-outbreaks-1074/,10,1,10,120,UNITED STATES,USA,BRAZIL,BRA
176043,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,1,1,1,013,SPOKESMAN,,REUTERS,USA
176044,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,2,1,2,042,BRAZIL,BRA,COLOMBIA,COL
176045,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,2,1,2,020,CANADA,CAN,TRAVELER,
176046,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,2,1,2,020,CANADA,CAN,TRAVELER,
176047,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,2,1,2,043,COLOMBIA,COL,BRAZIL,BRA
176048,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,2,1,2,013,SPOKESMAN,,REUTERS,USA
176049,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,2,1,2,020,NORTH AMERICA,NMR,UNITED STATES,USA
176050,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,2,1,2,013,UNITED STATES,USA,REUTERS,USA
176051,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,2,1,2,013,UNITED STATES,USA,REUTERS,USA
176052,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,4,1,4,020,NORTH AMERICA,NMR,,
176053,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,6,1,6,020,CANADA,CAN,TRAVELER,
176054,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,8,1,8,042,BRAZIL,BRA,COLOMBIA,COL
176055,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,8,1,8,043,COLOMBIA,COL,BRAZIL,BRA
176056,201601,http://www.lidtime.com/pregnant-women-warned-about-mosquito-borne-zika-virus-4180/,10,1,10,018,HAWAII,USA,,
176057,201605,http://www.lidtime.com/puerto-rico-says-confirmed-zika-cases-top-1100-4747/,10,1,10,020,CONGRESS,,,
176058,201603,http://www.lidtime.com/puerto-rico-to-see-thousands-more-zika-cases-cdc-1978/,2,1,2,042,GOVERNMENT,,MEXICO CITY,MEX
176059,201603,http://www.lidtime.com/puerto-rico-to-see-thousands-more-zika-cases-cdc-1978/,2,1,2,160,GOVERNMENT,,MEXICO CITY,MEX
176060,201603,http://www.lidtime.com/puerto-rico-to-see-thousands-more-zika-cases-cdc-1978/,2,1,2,043,MEXICO CITY,MEX,GOVERNMENT,
176061,201603,http://www.lidtime.com/qld-zika-virus-tests-inconclusive-2471/,4,1,4,0841,HEALTH OFFICIAL,,,
176062,201603,http://www.lidtime.com/qld-zika-virus-tests-inconclusive-2471/,10,1,10,010,HEALTH OFFICIAL,,,
176063,201603,http://www.lidtime.com/qld-zika-virus-tests-inconclusive-2471/,10,1,10,084,HEALTH OFFICIAL,,,
176064,201603,http://www.lidtime.com/qld-zika-virus-tests-inconclusive-2471/,16,2,16,0841,HEALTH OFFICIAL,,,
176065,201601,http://www.lidtime.com/race-to-find-vaccine-as-mosquito-born-zika-virus-grips-americas-5453/,10,1,10,020,BRAZIL,BRA,HEALTH OFFICIAL,
176066,201608,http://www.lidtime.com/report-of-mosquitoes-carrying-zika-in-fla-worries-some-bay-area-travelers-6799/,4,1,4,012,TRAVELER,,THE US,USA
176067,201608,http://www.lidtime.com/report-of-mosquitoes-carrying-zika-in-fla-worries-some-bay-area-travelers-6799/,6,1,6,012,TRAVELER,,THE US,USA
176068,201608,http://www.lidtime.com/report-of-mosquitoes-carrying-zika-in-fla-worries-some-bay-area-travelers-6799/,10,1,10,012,TRAVELER,,HEALTH OFFICIAL,
176069,201603,http://www.lidtime.com/researchers-at-hopkins-find-clue-linking-brain-defect-to-zika-virus-5153/,1,1,1,010,UNIVERSITY,,UNIVERSITY,
176070,201603,http://www.lidtime.com/researchers-at-hopkins-find-clue-linking-brain-defect-to-zika-virus-5153/,2,1,2,042,,,UNITED STATES,USA
176071,201603,http://www.lidtime.com/researchers-at-hopkins-find-clue-linking-brain-defect-to-zika-virus-5153/,2,1,2,010,UNIVERSITY,,UNITED STATES,USA
176072,201603,http://www.lidtime.com/researchers-at-hopkins-find-clue-linking-brain-defect-to-zika-virus-5153/,5,1,5,010,UNIVERSITY,,,
176073,201603,http://www.lidtime.com/researchers-find-strong-evidences-against-zika-virus-as-cause-of-microcephaly-3153/,1,1,1,043,HAITI,HTI,HEALTH OFFICIAL,
176074,201603,http://www.lidtime.com/researchers-find-strong-evidences-against-zika-virus-as-cause-of-microcephaly-3153/,2,1,2,043,HAITI,HTI,HEALTH OFFICIAL,
176075,201603,http://www.lidtime.com/researchers-find-strong-evidences-against-zika-virus-as-cause-of-microcephaly-3153/,5,1,5,043,HAITI,HTI,HEALTH OFFICIAL,
176076,201603,http://www.lidtime.com/researchers-find-strong-evidences-against-zika-virus-as-cause-of-microcephaly-3153/,8,1,8,042,HEALTH OFFICIAL,,HAITI,HTI
176077,201602,http://www.lidtime.com/researchers-scramble-to-fight-brand-new-zika-virus-5315/,1,1,1,010,BRAZIL,BRA,ATHENS,GRC
176078,201602,http://www.lidtime.com/researchers-scramble-to-fight-brand-new-zika-virus-5315/,1,1,1,010,BRAZIL,BRA,ATHENS,GRC
176079,201602,http://www.lidtime.com/researchers-scramble-to-fight-brand-new-zika-virus-5315/,5,1,5,120,BRAZIL,BRA,,
176080,201602,http://www.lidtime.com/saskatchewan-confirms-1st-case-of-zika-virus-5230/,10,1,10,012,WORLD HEALTH ORGANIZATION,,BRAZILIAN,BRA
176081,201602,http://www.lidtime.com/schumer-urges-3-point-federal-plan-to-fight-zika-virus-3550/,2,1,2,014,UNITED STATES,USA,UNITED STATES,USA
176082,201602,http://www.lidtime.com/schumer-urges-3-point-federal-plan-to-fight-zika-virus-3550/,2,1,2,013,UNITED STATES,USA,SENATOR,
176083,201602,http://www.lidtime.com/schumer-urges-3-point-federal-plan-to-fight-zika-virus-3550/,2,1,2,013,UNITED STATES,USA,UNITED STATES,USA
176084,201602,http://www.lidtime.com/schumer-urges-3-point-federal-plan-to-fight-zika-virus-3550/,4,1,4,020,UNITED STATES,USA,,
