RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
144001,201602,http://www.elsiglodedurango.com.mx/noticia/643092.el-zika-presente-en-33-paises-confirma-oms.html,8,1,8,036,COLOMBIA,COL,AUTHORITIES,
144002,201602,http://www.elsiglodedurango.com.mx/noticia/643236.obama-pedira-al-congreso-1800-mdd-para-combatir-al-zika.html,10,1,10,071,,,CONGRESS,
144003,201602,http://www.elsiglodedurango.com.mx/noticia/643236.obama-pedira-al-congreso-1800-mdd-para-combatir-al-zika.html,10,1,10,190,,,CONGRESS,
144004,201602,http://www.elsiglodedurango.com.mx/noticia/643236.obama-pedira-al-congreso-1800-mdd-para-combatir-al-zika.html,10,1,10,020,,,CONGRESS,
144005,201602,http://www.elsiglodedurango.com.mx/noticia/644515.campana-contra-el-zika-en-brasil.html,10,1,10,110,,,BRAZIL,BRA
144006,201602,http://www.elsiglodedurango.com.mx/noticia/644556.confirma-rusia-su-primer-caso-de-virus-del-zika.html,12,2,12,042,,,UNITED STATES,USA
144007,201602,http://www.elsiglodedurango.com.mx/noticia/645831.zika-nueva-pesadilla-que-acecha-a-america-latina.html,10,1,10,100,PRESIDENT,,,
144008,201603,http://www.elsiglodedurango.com.mx/noticia/647870.zika-llega-a-cuba-se-rinden-76-defienden-a-assange-una-mirada-al-mundo.html,10,1,10,080,FIGHTER,,NIGERIAN,NGA
144009,201604,http://www.elsiglodedurango.com.mx/noticia/657968.estudian-problemas-neurologicos-relacionados-con-zika.html,2,1,2,110,COLOMBIA,COL,PRESIDENT,
144010,201604,http://www.elsiglodedurango.com.mx/noticia/657968.estudian-problemas-neurologicos-relacionados-con-zika.html,8,1,8,120,AMERICAN,USA,,
144011,201604,http://www.elsiglodedurango.com.mx/noticia/657968.estudian-problemas-neurologicos-relacionados-con-zika.html,8,1,8,110,COLOMBIA,COL,PRESIDENT,
144012,201605,http://www.elsiglodedurango.com.mx/noticia/659749.fortalece-estudio-sospecha-de-vinculo-de-zika-con-paralisis.html,10,1,10,120,DOCTOR,,,
144013,201605,http://www.elsiglodedurango.com.mx/noticia/662575.sin-casos-de-bebes-con-microcefalia-de-madres-con-zika-narro.html,10,1,10,046,DOCTOR,,MEXICO,MEX
144014,201605,http://www.elsiglodedurango.com.mx/noticia/662575.sin-casos-de-bebes-con-microcefalia-de-madres-con-zika-narro.html,10,1,10,046,MEXICO,MEX,DOCTOR,
