RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
1,201512,http://07kbr.ru/2015/12/30/lixoradka-zika-ugrozhaet-rossii/,10,1,10,138,CITIZEN,,,
2,201611,http://100pour100-velo.com/2016/11/21/who-declares-zika-virus-no-longer-worldwide-public-health/,4,1,4,120,DOCTOR,,,
3,201611,http://100pour100-velo.com/2016/11/21/who-declares-zika-virus-no-longer-worldwide-public-health/,6,1,6,120,DOCTOR,,,
4,201610,http://1013thebrew.iheart.com/onair/brett-bside-matthews-38021/hurricane-matthew-raises-risk-of-zika-15187263/,2,1,2,012,WASHINGTON,USA,,
5,201610,http://1013thebrew.iheart.com/onair/brett-bside-matthews-38021/hurricane-matthew-raises-risk-of-zika-15187263/,8,1,8,012,WASHINGTON,USA,RESIDENTS,
6,201608,http://1015theriver.iheart.com/articles/local-news-toledo-315557/first-zika-case-reported-in-williams-15004739/,10,1,10,042,JAMAICA,JAM,,
7,201609,http://1025wfla.iheart.com/articles/florida-news-499647/gov-discusses-zika-15127184/,10,1,10,120,CONGRESS,,,
8,201609,http://1025wfla.iheart.com/articles/florida-news-499647/senate-rejects-house-zika-bill-15085695/,4,1,4,020,UNITED STATES,USA,SENATE,
9,201609,http://1025wfla.iheart.com/articles/florida-news-499647/zika-funding-bill-close-15099717/,3,1,3,190,FLORIDA,USA,SENATOR,
10,201608,http://1025wfla.iheart.com/articles/florida-news-499647/zika-spreads-in-florida-15038425/,10,1,10,112,FLORIDA,USA,RIGHTS GROUP,
11,201608,http://1035kissfmboise.com/idaho-woman-infected-with-zika-virus/,10,1,10,042,IDAHO,USA,MEXICO,MEX
12,201608,http://1035kissfmboise.com/zika-virus-infects-idaho-woman/,5,1,5,043,MEXICO,MEX,HEALTH DEPARTMENT,
13,201608,http://1035kissfmboise.com/zika-virus-infects-idaho-woman/,5,1,5,042,HEALTH DEPARTMENT,,MEXICO,MEX
14,201608,http://103kkcn.com/what-texans-need-to-know-about-the-zika-virus/,5,1,5,192,LONE STAR STATE,USA,,
15,201607,http://1049maxcountry.com/abc_health/amid-zika-outbreak-england-warns-pregnant-women-to-delay-travel-to-florida-abcid35744031/,2,1,2,042,HEALTH OFFICIAL,,FLORIDA,USA
16,201607,http://1049maxcountry.com/abc_health/amid-zika-outbreak-england-warns-pregnant-women-to-delay-travel-to-florida-abcid35744031/,8,1,8,036,HEALTH OFFICIAL,,UNITED STATES,USA
17,201608,http://1049maxcountry.com/abc_health/cdc-issues-travel-warning-for-florida-after-zika-virus-outbreak-abcid35745024/,4,1,4,130,,,FLORIDA,USA
18,201607,http://1049maxcountry.com/abc_health/cdc-monitoring-320-pregnant-women-in-us-after-zika-infection-abcid35729487/,6,1,6,071,CONGRESS,,,
19,201607,http://1049maxcountry.com/abc_health/congress-leaves-for-summer-without-funding-fight-against-zika-abcid35734255/,1,1,1,010,HOUSE SPEAKER,,UNITED STATES,USA
20,201607,http://1049maxcountry.com/abc_health/congress-leaves-for-summer-without-funding-fight-against-zika-abcid35734255/,1,1,1,010,UNITED STATES,USA,,
21,201607,http://1049maxcountry.com/abc_health/congress-leaves-for-summer-without-funding-fight-against-zika-abcid35734255/,3,1,3,010,HOUSE SPEAKER,,,
22,201605,http://1049maxcountry.com/abc_health/dr-fauci-forceful-preparation-key-to-combating-zika-spread-in-us-abcid35694201/,2,1,2,020,BRAZIL,BRA,,
23,201608,http://1049maxcountry.com/abc_health/fda-recommends-testing-for-zika-virus-in-all-us-blood-donations-abcid35760779/,10,1,10,020,ADMINISTRATION,,,
24,201608,http://1049maxcountry.com/abc_health/feds-use-funds-for-medicaid-childrens-services-to-avoid-delaying-zika-vaccine-research-abcid35751924/,1,1,1,020,UNITED STATES,USA,,
25,201608,http://1049maxcountry.com/abc_health/five-infected-after-second-zika-transmission-site-located-in-miami-abcid35756180/,8,2,8,012,MIAMI,USA,UNITED STATES,USA
26,201608,http://1049maxcountry.com/abc_health/five-infected-after-second-zika-transmission-site-located-in-miami-abcid35756180/,12,2,12,012,MIAMI,USA,FLORIDA,USA
27,201610,http://1049maxcountry.com/abc_health/further-evidence-of-link-between-guillainbarre-paralysis-syndrome-and-zika-virus-infection-study-finds-abcid35785769/,4,2,4,012,UNITED STATES,USA,,
28,201610,http://1049maxcountry.com/abc_health/further-evidence-of-link-between-guillainbarre-paralysis-syndrome-and-zika-virus-infection-study-finds-abcid35785769/,4,2,4,010,UNITED STATES,USA,UNIVERSITY,
29,201610,http://1049maxcountry.com/abc_health/further-evidence-of-link-between-guillainbarre-paralysis-syndrome-and-zika-virus-infection-study-finds-abcid35785769/,4,2,4,012,UNITED STATES,USA,UNIVERSITY,
30,201610,http://1049maxcountry.com/abc_health/further-evidence-of-link-between-guillainbarre-paralysis-syndrome-and-zika-virus-infection-study-finds-abcid35785769/,6,2,6,010,UNIVERSITY,,,
31,201610,http://1049maxcountry.com/abc_health/further-evidence-of-link-between-guillainbarre-paralysis-syndrome-and-zika-virus-infection-study-finds-abcid35785769/,6,2,6,012,UNIVERSITY,,,
32,201610,http://1049maxcountry.com/abc_health/further-evidence-of-link-between-guillainbarre-paralysis-syndrome-and-zika-virus-infection-study-finds-abcid35785769/,10,2,10,090,UNIVERSITY,,COLOMBIA,COL
