RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
240001,201601,http://www.wmcactionnews5.com/story/30980110/pregnant-women-told-to-avoid-countries-with-zika-outbreaks,10,1,10,042,HEALTH OFFICIAL,,BRAZIL,BRA
240002,201601,http://www.wmcactionnews5.com/story/31074256/shelby-county-health-departments-cautions-mid-south-travelers-about-zika-virus,4,1,4,020,DOCTOR,,,
240003,201601,http://www.wmcactionnews5.com/story/31074256/shelby-county-health-departments-cautions-mid-south-travelers-about-zika-virus,4,1,4,100,DOMINICAN REPUBLIC,DOM,RESIDENTS,
240004,201601,http://www.wmcactionnews5.com/story/31074256/shelby-county-health-departments-cautions-mid-south-travelers-about-zika-virus,6,1,6,100,,,RESIDENTS,
240005,201601,http://www.wmcactionnews5.com/story/31074256/shelby-county-health-departments-cautions-mid-south-travelers-about-zika-virus,6,1,6,020,DOCTOR,,,
240006,201602,http://www.wmcactionnews5.com/story/31184963/shelby-county-health-department-provides-list-of-precautions-for-zika-virus,2,1,2,130,,,HEALTH DEPARTMENT,
240007,201602,http://www.wmcactionnews5.com/story/31184963/shelby-county-health-department-provides-list-of-precautions-for-zika-virus,4,1,4,043,UNITED STATES,USA,,
240008,201602,http://www.wmcactionnews5.com/story/31184963/shelby-county-health-department-provides-list-of-precautions-for-zika-virus,6,1,6,042,,,UNITED STATES,USA
240009,201602,http://www.wmcactionnews5.com/story/31184963/shelby-county-health-department-provides-list-of-precautions-for-zika-virus,8,1,8,130,UNITED STATES,USA,UNITED STATES,USA
240010,201602,http://www.wmcactionnews5.com/story/31248869/zika-raises-spring-break-travel-concerns,2,1,2,036,UNITED STATES,USA,,
240011,201602,http://www.wmcactionnews5.com/story/31248869/zika-raises-spring-break-travel-concerns,12,1,10,012,MISSISSIPPI,USA,,
240012,201602,http://www.wmcactionnews5.com/story/31278899/cohen-hosts-round-table-discussion-about-zika-virus,4,1,4,040,,,UNITED STATES,USA
240013,201602,http://www.wmcactionnews5.com/story/31278899/cohen-hosts-round-table-discussion-about-zika-virus,4,1,4,042,,,UNITED STATES,USA
240014,201602,http://www.wmcactionnews5.com/story/31278899/cohen-hosts-round-table-discussion-about-zika-virus,4,1,4,043,MEMPHIS,USA,UNITED STATES,USA
240015,201602,http://www.wmcactionnews5.com/story/31278899/cohen-hosts-round-table-discussion-about-zika-virus,4,1,4,042,UNITED STATES,USA,MEMPHIS,USA
240016,201602,http://www.wmcactionnews5.com/story/31278899/cohen-hosts-round-table-discussion-about-zika-virus,4,1,4,040,UNITED STATES,USA,,
240017,201602,http://www.wmcactionnews5.com/story/31278899/cohen-hosts-round-table-discussion-about-zika-virus,6,1,6,043,MEMPHIS,USA,MEMPHIS,USA
240018,201602,http://www.wmcactionnews5.com/story/31278899/cohen-hosts-round-table-discussion-about-zika-virus,6,1,6,042,MEMPHIS,USA,MEMPHIS,USA
240019,201602,http://www.wmcactionnews5.com/story/31278899/cohen-hosts-round-table-discussion-about-zika-virus,10,1,10,040,MEMPHIS,USA,MEMPHIS,USA
240020,201602,http://www.wmcactionnews5.com/story/31278899/cohen-hosts-round-table-discussion-about-zika-virus,10,1,10,040,MEMPHIS,USA,MEMPHIS,USA
240021,201602,http://www.wmcactionnews5.com/story/31326918/cdc-zika-infections-confirmed-in-9-pregnant-women-in-us,130,13,130,090,TRAVELER,,,
240022,201604,http://www.wmcactionnews5.com/story/31671126/case-of-zika-virus-confirmed-in-shelby-county,2,1,2,020,HEALTH DEPARTMENT,,CITIZEN,
240023,201604,http://www.wmcactionnews5.com/story/31671126/case-of-zika-virus-confirmed-in-shelby-county,8,1,8,020,UNITED STATES,USA,CITIZEN,
240024,201605,http://www.wmcactionnews5.com/story/31911484/3-zika-cases-confirmed-in-mississippi,20,2,20,020,HEALTH DEPARTMENT,,,
240025,201606,http://www.wmcactionnews5.com/story/32321411/congressional-dysfunction-likely-to-stall-zika-funding-bill,14,7,14,129,UNITED STATES,USA,,
240026,201606,http://www.wmcactionnews5.com/story/32321411/congressional-dysfunction-likely-to-stall-zika-funding-bill,14,7,14,131,UNITED STATES,USA,,
240027,201606,http://www.wmcactionnews5.com/story/32321411/congressional-dysfunction-likely-to-stall-zika-funding-bill,16,8,16,129,THE WHITE HOUSE,USA,,
240028,201606,http://www.wmcactionnews5.com/story/32321411/congressional-dysfunction-likely-to-stall-zika-funding-bill,16,8,16,131,THE WHITE HOUSE,USA,,
240029,201606,http://www.wmcactionnews5.com/story/32321411/congressional-dysfunction-likely-to-stall-zika-funding-bill,16,8,16,129,THE WHITE HOUSE,USA,UNITED STATES,USA
240030,201606,http://www.wmcactionnews5.com/story/32321411/congressional-dysfunction-likely-to-stall-zika-funding-bill,16,8,16,131,THE WHITE HOUSE,USA,UNITED STATES,USA
240031,201606,http://www.wmcactionnews5.com/story/32321411/congressional-dysfunction-likely-to-stall-zika-funding-bill,16,8,16,081,ENVIRONMENTALIST,,,
240032,201606,http://www.wmcactionnews5.com/story/32321411/congressional-dysfunction-likely-to-stall-zika-funding-bill,40,8,40,112,CONGRESS,,,
240033,201606,http://www.wmcactionnews5.com/story/32321411/congressional-dysfunction-likely-to-stall-zika-funding-bill,64,8,64,081,ENVIRONMENTALIST,,,
240034,201607,http://www.wmcactionnews5.com/story/32349471/2nd-zika-virus-case-confirmed-in-davidson-county,2,1,2,010,HEALTH DEPARTMENT,,,
240035,201607,http://www.wmcactionnews5.com/story/32349471/2nd-zika-virus-case-confirmed-in-davidson-county,2,1,2,010,HEALTH DEPARTMENT,,UNITED STATES,USA
240036,201607,http://www.wmcactionnews5.com/story/32349471/2nd-zika-virus-case-confirmed-in-davidson-county,2,1,2,010,HEALTH DEPARTMENT,,,
240037,201607,http://www.wmcactionnews5.com/story/32349471/2nd-zika-virus-case-confirmed-in-davidson-county,4,1,4,020,,,RESIDENTS,
240038,201607,http://www.wmcactionnews5.com/story/32349471/2nd-zika-virus-case-confirmed-in-davidson-county,4,1,4,010,HEALTH DEPARTMENT,,UNITED STATES,USA
240039,201607,http://www.wmcactionnews5.com/story/32349471/2nd-zika-virus-case-confirmed-in-davidson-county,6,1,6,020,,,RESIDENTS,
240040,201606,http://www.wmcactionnews5.com/story/32349471/health-officials-share-information-to-keep-zika-from-spreading,4,1,4,020,,,RESIDENTS,
240041,201606,http://www.wmcactionnews5.com/story/32349471/health-officials-share-information-to-keep-zika-from-spreading,6,1,6,020,,,RESIDENTS,
240042,201607,http://www.wmcactionnews5.com/story/32380366/case-of-zika-virus-confirmed-in-desoto-county,10,1,10,042,,,JAMAICA,JAM
240043,201607,http://www.wmcactionnews5.com/story/32421295/what-you-need-to-know-before-visiting-an-area-where-zika-is-prevalent,1,1,1,042,GUATEMALA,GTM,NICARAGUA,NIC
240044,201607,http://www.wmcactionnews5.com/story/32421295/what-you-need-to-know-before-visiting-an-area-where-zika-is-prevalent,1,1,1,043,GUATEMALA,GTM,UNITED STATES,USA
240045,201607,http://www.wmcactionnews5.com/story/32421295/what-you-need-to-know-before-visiting-an-area-where-zika-is-prevalent,1,1,1,043,NICARAGUA,NIC,GUATEMALA,GTM
240046,201607,http://www.wmcactionnews5.com/story/32421295/what-you-need-to-know-before-visiting-an-area-where-zika-is-prevalent,1,1,1,042,UNITED STATES,USA,GUATEMALA,GTM
240047,201607,http://www.wmcactionnews5.com/story/32421295/what-you-need-to-know-before-visiting-an-area-where-zika-is-prevalent,3,1,3,043,GUATEMALA,GTM,UNITED STATES,USA
240048,201607,http://www.wmcactionnews5.com/story/32421295/what-you-need-to-know-before-visiting-an-area-where-zika-is-prevalent,3,1,3,042,UNITED STATES,USA,GUATEMALA,GTM
240049,201607,http://www.wmcactionnews5.com/story/32421295/what-you-need-to-know-before-visiting-an-area-where-zika-is-prevalent,4,1,4,043,NICARAGUA,NIC,UNITED STATES,USA
240050,201607,http://www.wmcactionnews5.com/story/32421295/what-you-need-to-know-before-visiting-an-area-where-zika-is-prevalent,4,1,4,042,UNITED STATES,USA,NICARAGUA,NIC
240051,201607,http://www.wmcactionnews5.com/story/32577157/tennessee-lawmaker-concerned-about-funds-to-fight-zika,2,1,2,042,,,UNITED STATES,USA
240052,201607,http://www.wmcactionnews5.com/story/32577157/tennessee-lawmaker-concerned-about-funds-to-fight-zika,2,1,2,043,UNITED STATES,USA,,
240053,201607,http://www.wmcactionnews5.com/story/32577157/tennessee-lawmaker-concerned-about-funds-to-fight-zika,4,1,4,071,TENNESSEE,USA,UNITED STATES,USA
240054,201607,http://www.wmcactionnews5.com/story/32577157/tennessee-lawmaker-concerned-about-funds-to-fight-zika,4,1,4,012,TENNESSEE,USA,UNITED STATES,USA
240055,201607,http://www.wmcactionnews5.com/story/32577157/tennessee-lawmaker-concerned-about-funds-to-fight-zika,6,1,6,012,TENNESSEE,USA,,
240056,201607,http://www.wmcactionnews5.com/story/32577157/tennessee-lawmaker-concerned-about-funds-to-fight-zika,6,1,6,071,TENNESSEE,USA,,
240057,201609,http://www.wmcactionnews5.com/story/33272497/6th-zika-case-confirmed-for-shelby-county,10,1,10,043,TRAVELER,,HEALTH DEPARTMENT,
240058,201609,http://www.wmcactionnews5.com/story/33272497/6th-zika-case-confirmed-for-shelby-county,10,1,10,042,HEALTH DEPARTMENT,,TRAVELER,
240059,201610,http://www.wmcactionnews5.com/story/33430715/zika-test-urged-for-pregnant-women-throughout-florida-county,10,1,10,020,NEW YORK,USA,GOVERNMENT,
240060,201704,http://www.wmcactionnews5.com/story/35192457/heightened-marshallese-population-raises-zika-concern,2,1,2,014,,,MARSHALL ISLANDS,MHL
240061,201704,http://www.wmcactionnews5.com/story/35192457/heightened-marshallese-population-raises-zika-concern,2,1,2,046,,,MARSHALLESE,MHL
240062,201704,http://www.wmcactionnews5.com/story/35192457/heightened-marshallese-population-raises-zika-concern,2,1,2,014,,,MARSHALL ISLANDS,MHL
240063,201704,http://www.wmcactionnews5.com/story/35192457/heightened-marshallese-population-raises-zika-concern,2,1,2,046,UNITED STATES,USA,MARSHALL ISLANDS,MHL
240064,201704,http://www.wmcactionnews5.com/story/35192457/heightened-marshallese-population-raises-zika-concern,2,1,2,012,UNITED STATES,USA,HEALTH DEPARTMENT,
240065,201704,http://www.wmcactionnews5.com/story/35192457/heightened-marshallese-population-raises-zika-concern,2,1,2,012,UNITED STATES,USA,HEALTH DEPARTMENT,
240066,201704,http://www.wmcactionnews5.com/story/35192457/heightened-marshallese-population-raises-zika-concern,2,1,2,046,UNITED STATES,USA,MARSHALLESE,MHL
240067,201704,http://www.wmcactionnews5.com/story/35192457/heightened-marshallese-population-raises-zika-concern,3,1,3,014,,,MARSHALLESE,MHL
240068,201704,http://www.wmcactionnews5.com/story/35192457/heightened-marshallese-population-raises-zika-concern,4,1,4,046,UNITED STATES,USA,MARSHALL ISLANDS,MHL
240069,201704,http://www.wmcactionnews5.com/story/35192457/heightened-marshallese-population-raises-zika-concern,6,1,6,012,HEALTH DEPARTMENT,,MARSHALL ISLANDS,MHL
240070,201608,http://www.wmdt.com/news/more-local-news/dph-vaccine-for-zika-would-be-a-game-changer-in-fight-against-virus/41159188,3,1,3,071,SMYRNA,TUR,CONGRESS,
240071,201608,http://www.wmdt.com/news/more-local-news/dph-vaccine-for-zika-would-be-a-game-changer-in-fight-against-virus/41159188,4,1,4,071,SMYRNA,TUR,CONGRESS,
240072,201608,http://www.wmdt.com/news/more-local-news/dph-vaccine-for-zika-would-be-a-game-changer-in-fight-against-virus/41159188,4,1,4,030,LAWMAKER,,,
240073,201602,http://www.wmdt.com/news/more-local-news/zika-not-a-local-threat-according-to-del-health-officials/37930600,3,1,3,012,,,MEDIA,
240074,201602,http://www.wmdt.com/news/more-local-news/zika-not-a-local-threat-according-to-del-health-officials/37930600,3,1,3,040,,,MEDIA,
240075,201602,http://www.wmdt.com/news/more-local-news/zika-not-a-local-threat-according-to-del-health-officials/37930600,5,1,5,134,HEALTH OFFICIAL,,,
240076,201602,http://www.wmdt.com/news/more-local-news/zika-not-a-local-threat-according-to-del-health-officials/37930600,7,1,7,012,FIRST STATE,USA,MEDIA,
240077,201602,http://www.wmdt.com/news/more-local-news/zika-not-a-local-threat-according-to-del-health-officials/37930600,7,1,7,040,FIRST STATE,USA,MEDIA,
240078,201602,http://www.wmfe.org/as-florida-zika-cases-rise-to-18-cdc-briefs-florida-doctors/56850,2,1,2,040,UNITED STATES,USA,FLORIDA,USA
240079,201602,http://www.wmfe.org/as-florida-zika-cases-rise-to-18-cdc-briefs-florida-doctors/56850,6,1,6,040,FLORIDA,USA,FLORIDA,USA
240080,201607,http://www.wmfe.org/breaking-florida-investigates-possible-first-case-of-local-zika-virus/62140,7,1,7,051,CORPORATION,,FLORIDA,USA
240081,201607,http://www.wmfe.org/burwell-in-orlando-delaying-zika-funding-could-delay-a-vaccine/62329,1,1,1,042,THE US,USA,UNITED STATES,USA
240082,201607,http://www.wmfe.org/burwell-in-orlando-delaying-zika-funding-could-delay-a-vaccine/62329,1,1,1,043,UNITED STATES,USA,THE US,USA
240083,201607,http://www.wmfe.org/burwell-in-orlando-delaying-zika-funding-could-delay-a-vaccine/62329,2,1,2,020,,,TOURIST,
