RowNum,monthyear,sourceurl,nummentions,numsources,numarticles,eventcode,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode
48001,201610,http://journalstar.com/lifestyles/health-med-fit/zika-testing-for-all-pregnant-women-who-have-been-in/article_e5954985-831e-5a39-8e53-08b901de937b.html,10,1,10,020,HEALTH OFFICIAL,,MIAMI,USA
48002,201601,http://journalstar.com/lo-ultimo-isla-de-pascua-toma-medidas-para-combatir-zika/article_3cc5150b-3437-59a9-b945-0267b2e22a5f.html,20,2,20,046,,,PRESIDENT,
48003,201601,http://journalstar.com/lo-ultimo-isla-de-pascua-toma-medidas-para-combatir-zika/article_3cc5150b-3437-59a9-b945-0267b2e22a5f.html,20,2,20,040,,,PRESIDENT,
48004,201601,http://journalstar.com/lo-ultimo-isla-de-pascua-toma-medidas-para-combatir-zika/article_3cc5150b-3437-59a9-b945-0267b2e22a5f.html,20,2,20,040,PRESIDENT,,,
48005,201601,http://journalstar.com/lo-ultimo-isla-de-pascua-toma-medidas-para-combatir-zika/article_3cc5150b-3437-59a9-b945-0267b2e22a5f.html,20,2,20,046,PRESIDENT,,,
48006,201601,http://journalstar.com/lo-ultimo-isla-de-pascua-toma-medidas-para-combatir-zika/article_3cc5150b-3437-59a9-b945-0267b2e22a5f.html,20,2,20,026,PRESIDENT,,,
48007,201601,http://journalstar.com/lo-ultimo-isla-de-pascua-toma-medidas-para-combatir-zika/article_3cc5150b-3437-59a9-b945-0267b2e22a5f.html,20,2,20,120,AUTHORITIES,,BRAZIL,BRA
48008,201601,http://journalstar.com/lo-ultimo-isla-de-pascua-toma-medidas-para-combatir-zika/article_3cc5150b-3437-59a9-b945-0267b2e22a5f.html,20,2,20,120,HIGH OFFICIAL,,BRAZIL,BRA
48009,201602,http://journalstar.com/news/opinion/editorial/columnists/column-genetically-modifying-zika-virus-out-of-existence/article_2f08deab-6133-5e17-978a-7af105bb0124.html,5,1,5,060,,,SCIENTIST,
48010,201602,http://journalstar.com/news/opinion/editorial/columnists/column-genetically-modifying-zika-virus-out-of-existence/article_2f08deab-6133-5e17-978a-7af105bb0124.html,5,1,5,030,COMMUNITY,,,
48011,201602,http://journalstar.com/news/opinion/editorial/columnists/column-genetically-modifying-zika-virus-out-of-existence/article_2f08deab-6133-5e17-978a-7af105bb0124.html,5,1,5,060,SCIENTIST,,,
48012,201607,http://journalstar.com/news/opinion/editorial/editorial-inaction-on-zika-virus-fails-public/article_f435ed6e-d313-5d13-91d9-55da370b2c73.html,1,1,1,012,UNITED STATES,USA,NILE,EGY
48013,201607,http://journalstar.com/news/opinion/editorial/editorial-inaction-on-zika-virus-fails-public/article_f435ed6e-d313-5d13-91d9-55da370b2c73.html,1,1,1,012,UNITED STATES,USA,NILE,EGY
48014,201607,http://journalstar.com/news/opinion/editorial/editorial-inaction-on-zika-virus-fails-public/article_f435ed6e-d313-5d13-91d9-55da370b2c73.html,2,1,2,012,UNITED STATES,USA,,
48015,201607,http://journalstar.com/news/opinion/editorial/editorial-inaction-on-zika-virus-fails-public/article_f435ed6e-d313-5d13-91d9-55da370b2c73.html,2,1,2,012,UNITED STATES,USA,,
48016,201607,http://journalstar.com/news/opinion/editorial/editorial-inaction-on-zika-virus-fails-public/article_f435ed6e-d313-5d13-91d9-55da370b2c73.html,4,1,4,071,CONGRESS,,WASHINGTON,USA
48017,201607,http://journalstar.com/news/opinion/editorial/editorial-inaction-on-zika-virus-fails-public/article_f435ed6e-d313-5d13-91d9-55da370b2c73.html,6,1,6,071,CONGRESS,,UNITED STATES,USA
