"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Zika virus infection","Reported cases","Number of cases","N","2018","ES","Spain",5.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","EU_EEA31","EU/EEA",25.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","FI","Finland",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","HR","Croatia",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","IE","Ireland",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","IT","Italy",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","LT","Lithuania",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","LV","Latvia",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","MT","Malta",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","NL","Netherlands",3.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","NO","Norway",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","PT","Portugal",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","RO","Romania",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","SE","Sweden",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","SI","Slovenia",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","SK","Slovakia",0.000000000,""
"Zika virus infection","Reported cases","Number of cases","N","2018","UK","United Kingdom",1.000000000,""
